sha256,doc_id,doctype,is_solution,exam_id,exam_type,term,n,date,date_source,title,page_url,pdf_url,bytes,text_chars,ocr
19cbe67cc15a276861a35e6d43d2e045acd23d804a323b1a2854251a6f2eb031,2.71-quiz1-2014S,exam,False,2.71-quiz1-2014S,quiz1,2014S,,2014-03-10,assumed,Quiz 1 (PDF),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s14_quiz1/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/46ede3e7fd0b097467698e6d64344ece_MIT2_71S14_s14_quiz1.pdf,516734,1971,False
532fbb04545cadd7e77f5926863902c4872815689852ed547a8ec0c20a0826ac,2.71-quiz1-2014S-sol,exam,True,2.71-quiz1-2014S,quiz1,2014S,,2014-03-10,assumed,Solutions for Quiz 1 (PDF),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s14_quiz1_sols/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/4790ddc766046818459f7d78a48ee8e2_MIT2_71S14_s14_quiz1_sols.pdf,306913,8700,False
8b99e9e3cd46092a2644de7c31257528423908ec025ab87031bbe3a7e05d7cf9,2.71-quiz2-2009S,exam,False,2.71-quiz2-2009S,quiz2,2009S,,2009-04-07,assumed,Quiz 2 (PDF),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s09_quiz2/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/531588ec103ff5b7b65b11a710ac3290_MIT2_71S14_s09_quiz2.pdf,673280,1940,False
867fea85f47d8a5ebde4182282b089b318218c17062af5590896302633492294,2.71-quiz2-2012S,exam,False,2.71-quiz2-2012S,quiz2,2012S,,2012-04-06,assumed,Quiz 2 (PDF),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s12_quiz2/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/5b050f10f0a7f399aec43db52e2a7fbd_MIT2_71S14_s12_quiz2.pdf,892845,2636,False
90e739d9f537b62b022a8dfbd5c4426016b341bad9cbe2518f56241a16884fa3,2.71-quiz2-2012S-sol,exam,True,2.71-quiz2-2012S,quiz2,2012S,,2012-04-06,assumed,Solutions for Quiz 2 (PDF - 1.3MB),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s12_quiz2_sols/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/b5c7a372beacde96c5e8ddbc121f9168_MIT2_71S14_s12_quiz2_sols.pdf,1321996,7951,False
5adf3e9923d853b9c978d9335c78035ad6862198dcce4d1019c0318f6dd33e34,2.71-quiz2-2014S,exam,False,2.71-quiz2-2014S,quiz2,2014S,,2014-04-07,assumed,Quiz 2 (PDF),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s14_quiz2/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/75974d4b2c0b884c12e836cb8e454167_MIT2_71S14_s14_quiz2.pdf,712432,2641,False
a5b18e1416b2759e2998c8d8f56e6580d3deb8209c66feebcb989245ed2ba192,2.71-quiz2-2014S-sol,exam,True,2.71-quiz2-2014S,quiz2,2014S,,2014-04-07,assumed,Solutions for Quiz 2 (PDF),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s14_quiz2_sols/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/6d6c24fdd7ddbaf5636c4c1f1a30ab2b_MIT2_71S14_s14_quiz2_sols.pdf,762976,20153,False
22b7e375c020e3812d1c41d2794e0e6f6fef80cf6a0f9725924de47af3a2b582,2.71-review-2013S-mit2-71s14-s13-pracpr-sol,review,True,,,2013S,,2013-05-18,assumed,Practice Problems with Solutions (PDF - 1.9MB),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s13_pracpr_sol/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/3fedd50b5db39647e97192c94c39ab44_MIT2_71S14_s13_PracPr_Sol.pdf,2011125,7027,False
c992040d145f120d1add46894780b71182160d04060b00a5ff47d8aa2eeff384,2.71-review-2014S-mit2-71s14-s14-prac-probs,review,False,,,2014S,,2014-05-18,assumed,Final Exam Practice Problems (PDF),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s14_prac_probs/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/f887719139cc75cb64382e7bb04efff5_MIT2_71S14_s14_Prac_Probs.pdf,753913,4540,False
278fe39316382b6dd1cfcd8dbd310e39b65773b6c6e0b1a0689b3de7380871b5,2.71-review-2014S-mit2-71s14-s14-pracpr-sol,review,True,,,2014S,,2014-05-18,assumed,Solutions for Practice Problems (PDF - 2.1MB),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_s14_pracpr_sol/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/e13f8e1329350557cc15cb11f4ee3207_MIT2_71S14_s14_PracPr_Sol.pdf,2171476,12362,False
