course,term,term_seq,set,issued_session,due_session,is_practice,problems_url,solutions_url,url_verified
6.641,2009S,20091,1,1,4,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/8d86abc873eeebd2f533bc58c5ffa318_MIT6_641s09_pset01.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/b45ae4c325d062ea98965af4e0a747fe_MIT6_641s09_sol_pset01.pdf,true
6.641,2009S,20091,2,3,5,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/3a6974252028ae47c64ee664f60feefe_MIT6_641s09_pset02.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/0ae4be8d04e80a5ac3b2a8ed84ccdd67_MIT6_641s09_sol_pset02.pdf,true
6.641,2009S,20091,3,5,7,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/6043b67d4d0581880c25383671b23d1a_MIT6_641s09_pset03.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/49e48259ef025210fce5f95e9b00d0a4_MIT6_641s09_sol_pset03.pdf,true
6.641,2009S,20091,4,6,9,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/8c7cf3d47ff5da7064cbea8aa1f97b88_MIT6_641s09_pset04.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/e8e047f5e86906cf4e93f8416668b4f0_MIT6_641s09_sol_pset04.pdf,true
6.641,2009S,20091,5,8,11,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/d9d32b454cabcfcf7cae852552737d5c_MIT6_641s09_pset05.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/24893cf572d8f187e765a4d9e5d38048_MIT6_641s09_sol_pset05.pdf,true
6.641,2009S,20091,6,15,18,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/65ce63901bd9256a049ab8b54f91fbf9_MIT6_641s09_pset06.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/76a301a338c18dc344ec2f7cf0f21eb3_MIT6_641s09_sol_pset06.pdf,true
6.641,2009S,20091,7,17,21,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/9e5b645bd551f875d33a113c296af028_MIT6_641s09_pset07.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/c9deac135365e0b23123c6456817759e_MIT6_641s09_sol_pset07.pdf,true
6.641,2009S,20091,opt,,,true,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/b1a23fb822b535dab64d8140fe944370_MIT6_641s09_pset_opt.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/2c1c5c9b736b7cc760caab6987fd465e_MIT6_641s09_sol_pset_opt.pdf,true
