course,guideline_id,kind,applies_to_exam_type,applies_to_term,from_session,to_session,share,source_term,source_term_seq,source_session,source_session_basis,text,source_url
18.06,18.06-G01,coverage,quiz1,2010S,1,9,1.0,2010S,20101,1,assumed posted at term start,Exam 1: Chapters 1 to 3.4,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/pages/calendar/
18.06,18.06-G02,coverage,quiz2,2010S,1,22,1.0,2010S,20101,1,assumed posted at term start,"Exam 2: Chapters 1-5, 6.1-6.2, 8.2",https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/pages/calendar/
18.06,18.06-G03,coverage,quiz3,2010S,1,34,1.0,2010S,20101,1,assumed posted at term start,"Exam 3: Chapters 1-8 (8.1, 2, 3, 5)",https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/pages/calendar/
18.06,18.06-G04,format,quiz1,2010S,,,,2010S,20101,1,assumed posted at term start,There will be three one-hour exams at class times and a final exam. The use of calculators or notes is not permitted during the exams.,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/pages/syllabus/
18.06,18.06-G05,format,quiz2,2010S,,,,2010S,20101,1,assumed posted at term start,There will be three one-hour exams at class times and a final exam. The use of calculators or notes is not permitted during the exams.,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/pages/syllabus/
18.06,18.06-G06,format,quiz3,2010S,,,,2010S,20101,1,assumed posted at term start,There will be three one-hour exams at class times and a final exam. The use of calculators or notes is not permitted during the exams.,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/pages/syllabus/
18.06,18.06-G07,format,final,2010S,,,,2010S,20101,1,assumed posted at term start,There will be three one-hour exams at class times and a final exam. The use of calculators or notes is not permitted during the exams.,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/pages/syllabus/
