course,term,term_seq,set,issued_session,due_session,is_practice,problems_url,solutions_url,url_verified
18.06,2010S,20101,1,,5,false,https://web.mit.edu/18.06/www/Spring10/pset1-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/22297c2a6dcf06d82e93ee4af115e91a_MIT18_06S10_pset1_s10_soln.pdf,true
18.06,2010S,20101,2,,8,false,https://web.mit.edu/18.06/www/Spring10/pset2-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/d039352aaa83a27f11bb2b3778ecfa96_MIT18_06S10_pset2_s10_soln.pdf,true
18.06,2010S,20101,3,,11,false,https://web.mit.edu/18.06/www/Spring10/pset3-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/99823819ffda7c97ddee8abd68ca8764_MIT18_06S10_pset3_s10_soln.pdf,true
18.06,2010S,20101,4,,14,false,https://web.mit.edu/18.06/www/Spring10/pset4-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/4ece22f9c707878e1e57b9840469490e_MIT18_06S10_pset4_s10_soln.pdf,true
18.06,2010S,20101,5,,17,false,https://web.mit.edu/18.06/www/Spring10/pset5-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/ef8cf047287bc629eb243a691340c823_MIT18_06S10_pset5_s10_soln.pdf,true
18.06,2010S,20101,6,,20,false,https://web.mit.edu/18.06/www/Spring10/pset6-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/ace08d2d5a7b321229f191765c5ff2e3_MIT18_06S10_pset6_s10_soln.pdf,true
18.06,2010S,20101,7,,23,false,https://web.mit.edu/18.06/www/Spring10/pset7-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/4d1ef28c0836e81caec9122a69c7b931_MIT18_06S10_pset7_s10_soln.pdf,true
18.06,2010S,20101,8,,29,false,https://web.mit.edu/18.06/www/Spring10/pset8-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/6e0208c1241f197797f2757d680740c0_MIT18_06S10_pset8_s10_soln.pdf,true
18.06,2010S,20101,9,,31,false,https://web.mit.edu/18.06/www/Spring10/pset9-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/58e62cc93e3e8b6cb52e72fa5830fc4e_MIT18_06S10_pset9_s10_soln.pdf,true
18.06,2010S,20101,10,,34,false,https://web.mit.edu/18.06/www/Spring10/pset10-s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/e6ea5d4104066f874afe1c34e06b8268_MIT18_06S10_pset10_s10_sol.pdf,true
